OMNIA_ST,OVK,NAZIV,name,Naslov,Posta,Kraj
1,1001,OVK JESENICE,UE Jesenice,Cesta železarjev 6 a,4270 Jesenice,Jesenice
2,1002 - 1003,"OVK RADOVLJICA 1,2",Občina Radovljica,Gorenjska cesta 19,4240 Radovljica,Radovljica
3,1004 - 1006,"OVK KRANJ 1, 2, 3",Mestna Občina Kranj,Slovenski trg 1,4000 Kranj,Kranj
4,1007,OVK TRŽIČ,Društvo upokojencev Tržič,Trg svobode 18,4290 Tržič,Tržič
5,1008 - 1009,"OVK ŠKOFJA LOKA 1, 2",Občina Škofja Loka,Mestni trg 15,4220 Škofja Loka,Škofja Loka
6,1010,OVK KAMNIK,Občina Kamnik,Glavni trg 24,1241 Kamnik,Kamnik
7,1011,OVK IDRIJA,UE Idrija,Študentovska ulica 2,5280 Idrija,Idrija
8,2001,OVK TOLMIN,UE Tolmin,Tumov drevored 4,5220 Tolmin,Tolmin
9,2002,OVK PIRAN,UE Piran,Obala 114 a,6320 Portorož,Portorož
10,2003,OVK IZOLA,UE Izola,Cesta v Pregavor 3a,6310 Izola,Izola
11,2004 - 2005,"OVK KOPER 1, 2",UE Koper (dvojezično volišče),Piranska cesta 2,6000 Koper,Koper
12,2006,OVK SEŽANA,Stara stavba Občine Sežana,Partizanska cesta 4,6210 Sežana,Sežana
13,2007,OVK ILIRSKA BISTRICA,Dom na Vidmu,Gregorčičeva cesta 2,6250 Ilirska Bistrica,Ilirska Bistrica
14,2008,OVK POSTOJNA,Upravna enota Postojna,Gregorčičev drevored 3,6230 Postojna,Postojna
15,2009 - 2010,"OVK NOVA GORICA 1, 2",UE Nova Gorica,Trg Edvarda Kardelja 1,5000 Nova Gorica,Nova Gorica
16,2011,OVK AJDOVŠČINA,UE Ajdovščina,Vipavska cesta 11b,5270 Ajdovščina,Ajdovščina
17,3001,OVK  LOGATEC,UE Cerknica,Cesta 4. maja 24,1380 Cerknica,Cerknica
18,3002,OVK VRHNIKA,UE Vrhnika,Stara Vrhnika 1 d,1360 Vrhnika,Vrhnika
19,3003 - 3011 in 4005 - 4009,OVK LJUBLJANA,UE Ljubljana,Linhartova cesta 13,1000 Ljubljana,Ljubljana
20,4001,OVK KOČEVJE,Gimnazija Kočevje (avla),Ljubljanska cesta 12,1330 Kočevje,Kočevje
21,4002,OVK RIBNICA - DOBREPOLJE,UE Ribnica,Gorenjska cesta 9,1310 Ribnica,Ribnica
22,4003,OVK GROSUPLJE,UE Grosuplje,Taborska cesta 1,1290 Grosuplje,Grosuplje
23,4004,OVK IVANČNA GORICA,Kulturni dom Ivančna Gorica,Sokolska ulica 4,1295 Ivančna Gorica,Ivančna Gorica
24,4010 - 4011,"OVK DOMŽALE 1, 2",Domžalski dom,Ljubljanska cesta 58,1230 Domžale,Domžale
25,5001,OVK ŠENTJUR,Gasilski dom Šentjur,Ulica A.M. Slomška 2,3230 Šentjur,Šentjur
26,5002 - 5003,"OVK CELJE 1, 2",UE Celje,Ljubljanska cesta 1,3000 Celje,Celje
27,5004 - 5005,"OVK ŽALEC 1, 2",UE Žalec,Ulica Savinjske čete 5,3310 Žalec,Žalec
28,5006,OVK MOZIRJE,Avla Upravnega centra Mozirje,Šmihelska cesta 2,3330 Mozirje,Mozirje
29,5007 - 5008,"OVK VELENJE 1, 2",UE Velenje,Rudarska 6a,3320 Velenje,Velenje
30,5009,OVK SLOVENJ GRADEC,UE Slovenj Gradec,Meškova 21,2380 Slovenj Gradec,Slovenj Gradec
31,5010,OVK RAVNE NA KOROŠKEM,UE Ravne na Koroškem,Čečovje 12a,2390 Ravne na Koroškem,Ravne na Koroškem
32,5011,OVK RADLJE,UE Radlje ob Dravi,Mariborska cesta 7,2360 Radlje ob Dravi,Radlje ob Dravi
33,6001,OVK ČRNOMELJ,UE Črnomelj,Zadružna cesta 16,8340 Črnomelj,Črnomelj
34,6002 - 6003,"OVK NOVO MESTO 1, 2",UE Novo mesto,Defranceschijeva ulica 1,8000 Novo Mesto,Novo Mesto
35,6004,OVK TREBNJE,Občina Trebnje (sedež Glasila občanov),Goliev trg 4,8210 Trebnje,Trebnje
36,6005,OVK BREŽICE,UE Brežice,Cesta prvih borcev 24a,8250 Brežice,Brežice
37,6006,OVK KRŠKO,UE Krško,Cesta krških žrtev 14,8270 Krško,Krško
38,6007,OVK SEVNICA,UE Sevnica,Glavni trg 19a,8290 Sevnica,Sevnica
39,6008,OVK LAŠKO,Kulturni center,Trg svobode 6,3270 Laško,Laško
40,6009,OVK LITIJA,Občina Litija,Jerebova ulica 14,1270 Litija,Litija
41,6010,OVK HRASTNIK - TRBOVLJE,UE Trbovlje,Mestni trg 4,1420 Trbovlje,Trbovlje
42,6011,OVK ZAGORJE,UE Zagorje ob Savi,Cesta 9. avgusta 5,1410 Zagorje ob Savi,Zagorje ob Savi
43,7001,OVK ŠMARJE PRI JELŠAH,Kulturni dom,Aškerčev trg 20,3240 Šmarje pri Jelšah,Šmarje pri Jelšah
44,7002,OVK SLOVENSKA BISTRICA,UE Slovenska Bistrica,Kolodvorska 10,2310 Slovenska Bistrica,Slovenska Bistrica
45,7003,OVK SLOVENSKE KONJICE,Občina Slovenske Konjice,Stari trg 29,3210 Slovenske Konjice,Slovenske Konjice
46,7004,OVK RUŠE,Knjižnica Janka Glazerja Ruše,Falska cesta 18,2342 Ruše,Ruše
47,7005 - 7011,OVK MARIBOR 1-7,Razstavni salon,Grajska ulica 7,2000 Maribor,Maribor
48,8001,OVK LENDAVA,Dvojezična osnovna šola II Lendava (DOŠ II),Ulica heroja Mohorja 1,9220 Lendava,Lendava
49,8002,OVK ORMOŽ,UE Ormož,Ptujska cesta 6,2270 Ormož,Ormož
50,8003,OVK LJUTOMER,Dom kulture,Prešernova ulica 20,9240 Ljutomer,Ljutomer
51,8004 - 8005,"OVK MURSKA SOBOTA 1, 2",UE Murska Sobota,Kardoševa ulica 2,9000 Murska Sobota,Murska Sobota
52,8006,OVK GORNJA RADGONA,UE Gornja Radgona,Partizanska cesta 13,9250 Gornja Radgona,Gornja Radgona
53,8007,OVK LENART,UE Lenart,Trg osvoboditve 7,2230 Lenart v Slov. goricah,Lenart
54,8008,OVK PESNICA,Večnamenski KTPC Pesnica,Pesnica pri Mariboru 41,2211 Pesnica pri Mariboru,Pesnica pri Mariboru
55,8009 - 8011,"OVK PTUJ 1, 2, 3",UE Ptuj,Slomškova ulica 10,2250 Ptuj,Ptuj