DZ22PV_ID,OVK,OVK_DUP,OVK_ime,OB_MID,OB_ID,obmocje,name,sedez_naslov,sedez_posta
1,1001,1,Jesenice,,,"Občine Jesenice, Kranjska gora in Žirovnica",Upravna enota Jesenice,Cesta železarjev 6 A,4270 Jesenice
2,1002,2,Radovljica 1,,,"Občini Bled in Gorje",Občina Bled,Cesta svobode 13,4260 Bled
3,1002,2,Radovljica 1,11026559,4,"Del občine Bohinj (v skladu z ZDVEDZ)",Dom Joža Ažmana,Triglavska 16,4264 Bohinjska Bistrica
4,1003,1,Radovljica 2,,,Občina Radovljica,Občina Radovljica,Gorenjska cesta 19,4240 Radovljica
5,1004,1,Kranj 1,,,Del mestne občine Kranj (v skladu z ZDVEDZ),Mestna občina Kranj,Slovenski trg 1,4000 Kranj
6,1005,1,Kranj 2,,,"Del mestne občine Kranj, ki obsega območje naselij: Breg ob Savi, Čepulje, Jama, Jamnik, Javornik, del Kranj, Lavtarski Vrh, Mavčiče, Meja, Nemilje, Njivica, Planica, Podblica, Podreča, Praše, Pševo, Rakovica, Spodnja Besnica, Spodnje Bitnje, Srednje Bitnje, Sveti Jošt nad Kranjem, Šutna, Zabukovje, Zgornja Besnica, Zgornje Bitnje, Žabnica in del naselja Kranj (v skladu z ZDVEDZ) ",Šmartinski dom Stražišče,Škofjeloška cesta 18,4000 Kranj
7,1006,1,Kranj 3,,,"Občine Naklo, Cerklje na Gorenjskem, Šenčur, Jezersko, Preddvor in del mestne občine Kranj, ki obsega območje naselij: Babni Vrt, Čadovlje, Golnik, Goriče, Hrastje, Letenice, Pangršica, Povlje, Srednja vas – Goriče, Tenetiše, Trstenik, Zalog, Žablje",Mestna občina Kranj,Slovenski trg 1,4000 Kranj
8,1007,1,Tržič,,,Občina Tržič,Društvo upokojencev Tržič,Trg svobode 18,4290 Tržič
9,1008,1,Škofja Loka 1,,,Občina Škofja Loka,Občina Škofja Loka,Mestni trg 15,4220 Škofja Loka
10,1009,2,Škofja Loka 2,146,146,Občina Železniki,Občina Železniki,Česnjica 48,4228 Železniki
11,1009,2,Škofja Loka 2,,,Občini Gorenja vas - Poljane in Žiri,Občina Gorenja vas - Poljane,Poljanska cesta 87,4224 Gorenja vas
12,1010,1,Kamnik,,,Občini Kamnik in Komenda,Občina Kamnik,Glavni trg 24,1241 Kamnik
13,1011,1,Idrija,,,Občini Cerkno in Idrija,Upravna enota Idrija (sejna soba),Študentovska ulica 2,5280 Idrija
14,2001,1,Tolmin,,,"Občine Bovec, Kobarid in Tolmin ",Upravna enota Tolmin,Tumov drevored 4,5220 Tolmin
15,2002,1,Piran,,,Občina Piran,Upravna enota Piran,Obala 114 a,6320 Portorož - Portorose
16,2003,1,Izola,,,Občina Izola,Upravna enota Izola,Cesta v Pregavor 3 a,6310 Izola - Isola
17,2004,1,Koper 1,,,"Del mestne občine Koper, ki obsega območje naselij: del naselja Koper (v skladu z ZDVEDZ) in naselje Šalara ",Upravna enota Koper (dvojezično volišče),Piranska cesta 2,6000 Koper - Capodistria
18,2005,1,Koper 2,,,Občina Ankaran in del mestne občine Koper (v skladu z  ZDVEDZ),Upravna enota Koper (dvojezično volišče),Piranska cesta 2,6000 Koper - Capodistria
19,2006,1,Sežana,,,"Občine Divača, Hrpelje - Kozina, Komen in Sežana",Stara stavba Občine Sežana,Partizanska cesta 4,6210 Sežana
20,2007,1,Ilirska Bistrica,,,Občina Ilirska Bistrica,Dom na Vidmu,Gregorčičeva cesta 2,6250 Ilirska Bistrica
21,2008,1,Postojna,,,Občini Pivka in Postojna,Kulturni dom Postojna (avla),Gregorčičev drevored 2 a,6230 Postojna
22,2009,1,Nova Gorica 1,,,"Občine Miren-Kostanjevica, Kanal, Brda, del občine Renče - Vogrsko (v skladu z ZDVEDZ), del mestne občine Nova Gorica (v skladu z ZDVEDZ)",Upravna enota Nova Gorica,Trg Edvarda Kardelja 1,5000 Nova Gorica
23,2010,1,Nova Gorica 2,,,"Občina Šempeter - Vrtojba, del občine Renče - Vogrsko in del mestne občine Nova Gorica (v skladu z ZDVEDZ)",Upravna enota Nova Gorica,Trg Edvarda Kardelja 1,5000 Nova Gorica
24,2011,1,Ajdovščina,,,Občini Ajdovščina in Vipava,Upravna enota Ajdovščina,Vipavska cesta 11b,5270 Ajdovščina
25,3001,2,Logatec,,,"Občine Bloke, Logatec in Loška dolina",Upravni center Logatec,Tržaška cesta 50A,1370 Logatec
26,3001,2,Logatec,13,13,Občina Cerknica,Upravna enota Cerknica,Cesta 4. maja 24,1380 Cerknica
27,3002,1,Vrhnika,,,"Občine Borovnica, Log - Dragomer in Vrhnika",Upravna enota Vrhnika,Stara Vrhnika 1d,1360 Vrhnika
28,3003,1,Ljubljana-Vič Rudnik 1,,,"Občini Velike Lašče in Ig, del občine Brezovica, del občine Škofljica in del mestne občine Ljubljana (v skladu z ZDVEDZ)",Gospodarsko razstavišče (Marmorna dvorana),Dunajska cesta 18,1000 Ljubljana
29,3004,1,Ljubljana-Vič Rudnik 2,,,Del mestne občine Ljubljana in del občine Škofljica (v skladu z ZDVEDZ),Gospodarsko razstavišče (Marmorna dvorana),Dunajska cesta 18,1000 Ljubljana
30,3005,1,Ljubljana-Vič Rudnik 3,,,Del mestne občine Ljubljana (v skladu z ZDVEDZ),Gospodarsko razstavišče (Marmorna dvorana),Dunajska cesta 18,1000 Ljubljana
31,3006,1,Ljubljana-Vič Rudnik 4,,,"Občini Dobrova - Polhov Gradec in Horjul, del občine Brezovica ter del mestne občine Ljubljana (v skladu z ZDVEDZ)",Gospodarsko razstavišče (Marmorna dvorana),Dunajska cesta 18,1000 Ljubljana
32,3007,1,Ljubljana-Center,,,Del mestne občine Ljubljana (v skladu z ZDVEDZ),Gospodarsko razstavišče (Marmorna dvorana),Dunajska cesta 18,1000 Ljubljana
33,3008,1,Ljubljana-Šiška 1,,,Del mestne občine Ljubljana (v skladu z ZDVEDZ),Gospodarsko razstavišče (Marmorna dvorana),Dunajska cesta 18,1000 Ljubljana
34,3009,1,Ljubljana-Šiška 2,,,Del mestne občine Ljubljana (v skladu z ZDVEDZ),Gospodarsko razstavišče (Marmorna dvorana),Dunajska cesta 18,1000 Ljubljana
35,3010,1,Ljubljana-Šiška 3,,,Del mestne občine Ljubljana (v skladu z ZDVEDZ),Gospodarsko razstavišče (Marmorna dvorana),Dunajska cesta 18,1000 Ljubljana
36,3011,1,Ljubljana-Šiška 4,,,Občini Medvode in Vodice ter del mestne občine Ljubljana (v skladu z ZDVEDZ),Gospodarsko razstavišče (Marmorna dvorana),Dunajska cesta 18,1000 Ljubljana
37,4001,1,Kočevje,,,"Občine Kočevje, Kostel in Osilnica",Občina Kočevje,Ljubljanska cesta 26,1330 Kočevje
38,4002,1,Ribnica-Dobrepolje,,,"Občine Loški Potok, Ribnica, Sodražica in Dobrepolje",Upravna enota Ribnica,Gorenjska cesta 9,1310 Ribnica
39,4003,1,Grosuplje,,,Občina Grosuplje,Družbeni dom Grosuplje,Taborska cesta 1,1290 Grosuplje
40,4004,1,Ivančna Gorica,,,Del občine Ivančna Gorica (v skladu z ZDVEDZ),Kulturni dom Ivančna Gorica,Sokolska ulica 4,1295 Ivančna Gorica
41,4005,1,Ljubljana-Moste Polje 1,,,Del mestne občine Ljubljana in del občine Dol pri Ljubljani (v skladu z ZDVEDZ),Gospodarsko razstavišče (Marmorna dvorana),Dunajska cesta 18,1000 Ljubljana
42,4006,1,Ljubljana-Moste Polje 2,,,Del mestne občine Ljubljana (v skladu z ZDVEDZ),Gospodarsko razstavišče (Marmorna dvorana),Dunajska cesta 18,1000 Ljubljana
43,4007,1,Ljubljana-Moste Polje 3,,,Del mestne občine Ljubljana (v skladu z ZDVEDZ),Gospodarsko razstavišče (Marmorna dvorana),Dunajska cesta 18,1000 Ljubljana
44,4008,1,Ljubljana-Bežigrad 1,,,Del občine Dol pri Ljubljani in del mestne občine Ljubljana (v skladu z ZDVEDZ),Gospodarsko razstavišče (Marmorna dvorana),Dunajska cesta 18,1000 Ljubljana
45,4009,1,Ljubljana-Bežigrad 2,,,Del mestne občine Ljubljana (v skladu z ZDVEDZ),Gospodarsko razstavišče (Marmorna dvorana),Dunajska cesta 18,1000 Ljubljana
46,4010,1,Domžale 1,,,Občini Lukovica in Moravče ter del občine Domžale (v skladu z ZDVEDZ),Društvo Lipa Domžale,Ljubljanska 58,1230 Domžale
47,4011,1,Domžale 2,,,Občini Mengeš in Trzin ter del občine Domžale (v skladu z določbami ZDVEDZ),Društvo Lipa Domžale,Ljubljanska 58,1230 Domžale
48,5001,1,Šentjur,,,Občini Dobje in Šentjur,Občina Šentjur,Mestni trg 10,3230 Šentjur
49,5002,1,Celje 1,,,"Občine Dobrna, Štore, Vojnik in del mestne občine Celje (v skladu z ZDVEDZ)",Upravna enota Celje,Ljubljanska cesta 1,3000Celje
50,5003,1,Celje 2,,,Del mestne občine Celje (v skladu z ZDVEDZ),Upravna enota Celje,Ljubljanska cesta 1,3000 Celje
51,5004,1,Žalec 1,,,Občina Polzela in del mestne občine Velenje (v skladu z ZDVEDZ),Upravna enota Žalec,Ulica Savinjske čete 5,3310 Žalec
52,5005,1,Žalec 2,,,"Občine Braslovče, Prebold, Tabor in Vransko ter del občine Žalec (v skladu z ZDVDZ) ",Upravna enota Žalec,Ulica Savinjske čete 5,3310 Žalec
53,5006,1,Mozirje,,,"Občine Gornji Grad, Ljubno, Luče, Mozirje, Nazarje, Rečica ob Savinji in Solčava",Upravni center Mozirje,Šmihelska cesta 2,3330 Mozirje
54,5007,1,Velenje 1,,,Del mestne občine Velenje (v skladu z ZDVEDZ),Upravna enota Velenje,Rudarska 6a,3320 Velenje
55,5008,1,Velenje 2,,,Občini Šmartno ob Paki in Šoštanj ter del mestne občine Velenje (v skladu z ZDVEDZ),Upravne enota Velenje,Rudarska cesta 6a,3320 Velenje
56,5009,1,Slovenj Gradec,,,Občini Mislinja in mestna občina Slovenj Gradec,Upravna enota Slovenj Gradec,Meškova ulica 21,2380 Slovenj Gradec
57,5010,1,Ravne na Koroškem,,,"Občine Črna na Koroškem, Mežica, Prevalje in Ravne na Koroškem",Občina Ravne na Koroškem,Gačnikova pot 5,2390 Ravne na Koroškem
58,5011,2,Radlje,"101, 141","101, 141",Občini Radlje ob Dravi in Vuzenica,Upravna enota Radlje ob Dravi,Mariborska cesta 7,2360 Radlje ob Dravi
59,5011,2,Radlje,,,"Občine Dravograd, Muta, Podvelka in Ribnica na Pohorju",Upravna enota Dravograd,Meža 10,2370 Dravograd
60,6001,2,Črnomelj,17,17,Občina Črnomelj,Upravna enota Črnomelj,Zadružna cesta 16,8340 Črnomelj
61,6001,2,Črnomelj,,,Občini Metlika in Semič,Upravna enota Metlika,Naselje Borisa Kidriča 14,8330 Metlika
62,6002,1,Novo mesto 1,,,"Občine Dolenjske Toplice, Mirna Peč, Šentjernej, Šmarješke Toplice, Žužemberk in del mestne občine Novo mesto (v skladu z ZDVEDZ)",Upravna enota Novo mesto,Defranceschijeva ulica 1,8000 Novo mesto
63,6003,1,Novo mesto 2,,,Občina Straža in del mestne občine Novo mesto (v skladu z ZDVEDZ),Upravna enota Novo mesto,Defranceschijeva ulica 1,8000 Novo mesto
64,6004,1,Trebnje,,,"Občine Mokronog - Trebelno, Šentrupert, Mirna in Trebnje",Občina Trebnje,Goliev trg 5,8210 Trebnje
65,6005,1,Brežice,,,Občina Brežice,Upravna enota Brežice,Cesta prvih borcev 24a,8250 Brežice
66,6006,1,Krško,,,Občini Kostanjevica na Krki in Krško,Občina Krško,Cesta krških žrtev 14,8270 Krško
67,6007,1,Sevnica,,,Občini Sevnica in Škocjan,Občina Sevnica,Glavni trg 19 a,8290 Sevnica
68,6008,2,Laško,99,99,Občina Radeče,Kulturni dom,Gledališka pot 2,1433 Radeče
69,6008,2,Laško,57,57,Občina Laško,Občina Laško (energetsko svetovalna pisarna),Mestna ulica 2,3270 Laško
70,6009,1,Litija,,,"Občini Litija in Šmartno pri Litiji ter del občine Ivančna Gorica, ki obsega območja naselij: Pusti Javor, Radanja vas, Sela pri Sobračah, Sobrače, Vrh pri Sobračah",Občina Litija,Jerebova ulica 14,1270 Litija
71,6010,2,Hrastnik-Trbovlje,34,34,Občina Hrastnik,Upravna zgradba Hrastnik,Pot Vitka Pavliča 5,1430 Hrastnik
72,6010,2,Hrastnik-Trbovlje,129,129,Občina Trbovlje,Upravna zgradba Trbovlje,Mestni trg 4,1420 Trbovlje
73,6011,1,Zagorje,,,Občina Zagorje ob Savi,Weinbergerjeva hiša,Cesta 9. avgusta 4,1410 Zagorje ob Savi
74,7001,1,Šmarje pri Jelšah,,,"Občine Bistrica ob Sotli, Kozje, Podčetrtek, Rogaška Slatina, Rogatec in Šmarje pri Jelšah",Kulturni dom Šmarje pri Jelšah,Aškerčev trg 20,3240 Šmarje pri Jelšah
75,7002,1,Slovenska Bistrica,,,"Občine Poljčane, Makole, Oplotnica in del občine Slovenska Bistrica (v skladu z ZDVEDZ) ter del občine Zreče, ki obsega območje naselja Zlakova",Upravna enota Slovenska Bistrica,Kolodvorska 10,2310 Slovenska Bistrica
76,7003,1,Slovenske Konjice,,,Občini Slovenske Konjice in Vitanje ter del občine Zreče (v skladu z ZDVEDZ),Občina Slovenske Konjice,Stari trg 29,3210 Slovenske Konjice
77,7004,2,Ruše,178,178,Občina Selnica ob Dravi,Občina Selnica ob Dravi,Slovenski trg 4,2352 Selnica ob Dravi
78,7004,2,Ruše,,,Občini Lovrenc na Pohorju in Ruše,Upravna enota Ruše,Kolodvorska ulica 9,2342 Ruše
79,7005,1,Maribor 1,,,"Občina Rače - Fram, del občine Hoče - Slivnica in del mestne občine Maribor (v skladu z ZDVEDZ) ",Kulturni dom Kamnica,Vrbanska 97,2351 Kamnica
80,7006,1,Maribor 2,,,"Občini Miklavž na Dravskem polju in Starše, del občine Hoče - Slivnica in del mestne občine Maribor (v skladu z ZDVEDZ) ",Kulturni dom Hoče,Pohorska cesta 15,2311 Hoče
81,7007,1,Maribor 3,,,Občina Duplek in del mestne občine Maribor (v skladu z ZDVEDZ),Mestna četrt Brezje,Na trati 2,2000 Maribor
82,7008,1,Maribor 4,,,Del mestne občine Maribor (v skladu z ZDVEDZ),Razstavni salon,Grajska ulica 7,2000 Maribor
83,7009,1,Maribor 5,,,Del mestne občine Maribor (v skladu z ZDVEDZ),Mestni mladinski svet,Trg revolucije 9,2000 Maribor
84,7010,1,Maribor 6,,,Del mestne občine Maribor (v skladu z ZDVEDZ),Javni zavod Gasilska brigada Maribor,Cesta proletarskih brigad 21,2000 Maribor
85,7011,1,Maribor 7,,,Del mestne občine Maribor (v skladu z ZDVEDZ),Mestna četrt Tabor,Metelkova 63,2000 Maribor
86,8001,1,Lendava,,,"Občine Črenšovci, Dobrovnik, Kobilje, Lendava, Odranci, Turnišče in Velika Polana",Dvojezična OŠ II Lendava,Ulica heroja Mohorja 1,9220 Lendava
87,8002,1,Ormož,,,"Občine Ormož, Središče ob Dravi in Sveti Tomaž",Upravna enota Ormož,Ptujska cesta 6,2270 Ormož
88,8003,1,Ljutomer,,,"Občine Ljutomer, Križevci, Razkrižje in Veržej",Dom kulture,Prešernova ulica 20,9240 Ljutomer
89,8004,1,Murska Sobota 1,,,"Občine Puconci, Rogašovci, Šalovci, Tišina, Cankova, Gornji Petrovci, Grad, Hodoš, Kuzma, del občine Moravske Toplice in del mestne občine Murska Sobota (v skladu z ZDVEDZ)",Mestna občina Murska Sobota,Kardoševa ulica 2,9000 Murska Sobota
90,8005,1,Murska Sobota 2,,,"Občina Beltinci, del mestne občine Murska Sobota in del občine Moravske Toplice (v skladu z ZDVEDZ) ",Mestna Občina Murska Sobota,Kardoševa ulica 2,9000 Murska Sobota
91,8006,1,Gornja Radgona,,,"Občine Apače, Gornja Radgona, Radenci in Sveti Jurij ob Ščavnici",Upravna enota Gornja Radgona,Partizanska cesta 13,9250 Gornja Radgona
92,8007,1,Lenart,,,"Občine Benedikt, Cerkvenjak, Lenart, Sveta Ana, Sveti Jurij v Slovenskih goricah in Sveta Trojica v Slovenskih goricah",Upravna enota Lenart,Trg osvoboditve 7,2230 Lenart v Slov. goricah
93,8008,1,Pesnica,,,"Občine Pesnica, Kungota in Šentilj",Večnamenski KTPC Pesnica,Pesnica pri Mariboru 41,2211 Pesnica pri Mariboru
94,8009,1,Ptuj 1,,,"Občine Destrnik, Dornava, Gorišnica, Juršinci, Markovci, Sveti Andraž v Slov. goricah in Trnovska vas ter del mestne občine Ptuj (v skladu z ZDVEDZ)",Upravna enota Ptuj,Slomškova 10,2250 Ptuj
95,8010,1,Ptuj 2,,,Občina Hajdina in del mestne občine Ptuj (v skladu z ZDVEDZ),Upravna enota Ptuj,Slomškova 10,2250 Ptuj
96,8011,1,Ptuj 3,,,"Občine Cirkulane, Kidričevo, Majšperk, Podlehnik, Videm, Zavrč in Žetale",Upravna enota Ptuj,Slomškova 10,2250 Ptuj